('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         773660 function calls (749659 primitive calls) in 1.442 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      215    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      303    0.000    0.000    0.138    0.000 re.py:249(compile)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      194    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       49    0.000    0.000    0.764    0.016 {method 'readline' of '_io.BufferedReader' objects}
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7a87b9319870}
       40    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
      270    0.000    0.000    0.000    0.000 {built-in method builtins.any}
    243/4    0.000    0.000    0.276    0.069 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      798    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      322    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
        1    0.000    0.000    0.065    0.065 dammit.py:1(<module>)
       61    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
      244    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      211    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      192    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      122    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
       12    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      382    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
        3    0.000    0.000    0.009    0.003 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
       39    0.000    0.000    0.012    0.000 response.py:469(_decode)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      321    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       68    0.000    0.000    0.000    0.000 filter.py:224(__init__)
       34    0.000    0.000    0.011    0.000 element.py:1079(_find_all)
      139    0.000    0.000    0.001    0.000 typing.py:947(__init__)
       34    0.000    0.000    0.011    0.000 filter.py:163(find_all)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      515    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        5    0.000    0.000    0.000    0.000 client.py:1239(putheader)
      164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      514    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      321    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      111    0.000    0.000    0.000    0.000 element.py:1873(_all_strings)
      435    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
     1071    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 ssl.py:1360(_real_close)
      305    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
    73/39    0.000    0.000    0.160    0.004 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      612    0.000    0.000    0.000    0.000 ssl.py:1138(_checkClosed)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
      305    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      227    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      264    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
    67/36    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       60    0.000    0.000    0.002    0.000 typing.py:1147(copy_with)
      232    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
      266    0.000    0.000    0.000    0.000 typing_extensions.py:154(_should_collect_from_parameters)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      336    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
     1630    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       62    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
      266    0.000    0.000    0.000    0.000 typing_extensions.py:2976(_is_unpacked_typevartuple)
        1    0.000    0.000    0.003    0.003 parser.py:59(parsestr)
       30    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
       34    0.000    0.000    0.001    0.000 ipaddress.py:1636(_ip_int_from_string)
      176    0.000    0.000    0.008    0.000 sre_parse.py:97(closegroup)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
      306    0.000    0.000    0.000    0.000 socket.py:730(readable)
      320    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
        1    0.000    0.000    0.006    0.006 financil.py:14(parse_table)
       59    0.000    0.000    0.092    0.002 client.py:624(_safe_read)
       48    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       10    0.000    0.000    0.002    0.000 enum.py:483(_create_)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.073    0.073 css_parser.py:1(<module>)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      168    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      539    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 cookies.py:23(MockRequest)
        1    0.000    0.000    0.000    0.000 client.py:239(HTTPResponse)
        1    0.000    0.000    0.005    0.005 ssl.py:1(<module>)
       54    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
       47    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       50    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
    31/17    0.000    0.000    0.181    0.011 {built-in method builtins.__import__}
      211    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      270    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.015    0.015 url.py:1(<module>)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
        8    0.000    0.000    0.000    0.000 message.py:462(get)
      170    0.000    0.000    0.000    0.000 filter.py:490(_make_match_rules)
        4    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
        6    0.000    0.000    0.000    0.000 structures.py:40(__init__)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
       17    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
    42/30    0.000    0.000    0.009    0.000 css_parser.py:569(parse_pseudo_class)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
      197    0.000    0.000    0.001    0.000 typing.py:515(<genexpr>)
        1    0.000    0.000    0.027    0.027 client.py:206(_read_headers)
        2    0.000    0.000    0.003    0.001 request.py:1(<module>)
       14    0.000    0.000    0.000    0.000 sre_compile.py:440(_bytes_to_codes)
        3    0.000    0.000    0.011    0.004 response.py:1(<module>)
      408    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      291    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.011    0.005 connection.py:1(<module>)
       57    0.000    0.000    0.002    0.000 _htmlparser.py:127(handle_startendtag)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
        1    0.000    0.000    0.207    0.207 __init__.py:209(__init__)
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
